x,y,z,time
0,0.101,0.101,0.000
0.000,0.101,0.202,0.000
0.000,0.101,0.303,0.000
0.000,0.101,0.404,0.000
0.000,0.101,0.505,0.000
0.000,0.101,0.606,0.000
0.000,0.101,0.707,0.000
0.000,0.101,0.808,0.000
0.000,0.101,0.909,0.000
0.000,0.101,1.010,0.000
0.000,0.101,1.111,0.000
0.000,0.101,1.212,0.000
0.000,0.101,1.313,0.000
0.000,0.101,1.414,0.000
0.000,0.101,1.515,0.000
0.000,0.101,1.616,0.000
0.000,0.101,1.717,0.000
0.000,0.101,1.818,0.000
0.000,0.101,1.919,0.000
0.000,0.101,2.020,0.000
0.000,0.101,2.121,0.000
0.000,0.101,2.222,0.000
0.000,0.101,2.323,0.000
0.000,0.101,2.424,0.000
0.000,0.101,2.525,0.001
0.000,0.101,2.626,0.001
0.000,0.101,2.727,0.001
0.000,0.101,2.828,0.001
0.000,0.101,2.929,0.001
0.000,0.101,3.030,0.001
0.000,0.101,3.131,0.001
0.000,0.101,3.232,0.001
0.000,0.101,3.333,0.001
0.000,0.101,3.434,0.001
0.000,0.101,3.535,0.001
0.000,0.101,3.636,0.001
0.000,0.101,3.737,0.001
0.000,0.101,3.838,0.001
0.000,0.101,3.939,0.001
0.000,0.101,4.040,0.001
0.000,0.101,4.141,0.001
0.000,0.101,4.242,0.001
0.000,0.101,4.343,0.001
0.000,0.101,4.444,0.001
0.000,0.101,4.545,0.001
0.000,0.101,4.646,0.001
0.000,0.101,4.747,0.001
0.000,0.101,4.848,0.001
0.000,0.101,4.949,0.001
0.000,0.101,5.051,0.001
0.000,0.101,5.152,0.001
0.000,0.101,5.253,0.001
0.000,0.101,5.354,0.001
0.000,0.101,5.455,0.001
0.000,0.101,5.556,0.001
0.000,0.101,5.657,0.001
0.000,0.101,5.758,0.001
0.000,0.101,5.859,0.001
0.000,0.101,5.960,0.001
0.000,0.101,6.061,0.001
0.000,0.101,6.162,0.001
0.000,0.101,6.263,0.001
0.000,0.101,6.364,0.001
0.000,0.101,6.465,0.001
0.000,0.101,6.566,0.001
0.000,0.101,6.667,0.001
0.000,0.101,6.768,0.001
0.000,0.101,6.869,0.001
0.000,0.101,6.970,0.001
0.000,0.101,7.071,0.001
0.000,0.101,7.172,0.001
0.000,0.101,7.273,0.001
0.000,0.101,7.374,0.001
0.000,0.101,7.475,0.001
0.000,0.101,7.576,0.000
0.000,0.101,7.677,0.000
0.000,0.101,7.778,0.000
0.000,0.101,7.879,0.000
0.000,0.101,7.980,0.000
0.000,0.101,8.081,0.000
0.000,0.101,8.182,0.000
0.000,0.101,8.283,0.000
0.000,0.101,8.384,0.000
0.000,0.101,8.485,0.000
0.000,0.101,8.586,0.000
0.000,0.101,8.687,0.000
0.000,0.101,8.788,0.000
0.000,0.101,8.889,0.000
0.000,0.101,8.990,0.000
0.000,0.101,9.091,0.000
0.000,0.101,9.192,0.000
0.000,0.101,9.293,0.000
0.000,0.101,9.394,0.000
0.000,0.101,9.495,0.000
0.000,0.101,9.596,0.000
0.000,0.101,9.697,0.000
0.000,0.101,9.798,0.000
0.000,0.101,9.899,0.000
0.000,0.101,10.000,0.000
0.000,0.101,10.101,0.000
0.000,0.202,0.101,0.000
0.000,0.202,0.202,0.000
0.000,0.202,0.303,0.000
0.000,0.202,0.404,0.000
0.000,0.202,0.505,0.000
0.000,0.202,0.606,0.000
0.000,0.202,0.707,0.000
0.000,0.202,0.808,0.000
0.000,0.202,0.909,0.000
0.000,0.202,1.010,0.000
0.000,0.202,1.111,0.000
0.000,0.202,1.212,0.001
0.000,0.202,1.313,0.001
0.000,0.202,1.414,0.001
0.000,0.202,1.515,0.001
0.000,0.202,1.616,0.001
0.000,0.202,1.717,0.001
0.000,0.202,1.818,0.001
0.000,0.202,1.919,0.001
0.000,0.202,2.020,0.001
0.000,0.202,2.121,0.002
0.000,0.202,2.222,0.002
0.000,0.202,2.323,0.002
0.000,0.202,2.424,0.002
0.000,0.202,2.525,0.002
0.000,0.202,2.626,0.002
0.000,0.202,2.727,0.002
0.000,0.202,2.828,0.002
0.000,0.202,2.929,0.003
0.000,0.202,3.030,0.003
0.000,0.202,3.131,0.003
0.000,0.202,3.232,0.003
0.000,0.202,3.333,0.003
0.000,0.202,3.434,0.003
0.000,0.202,3.535,0.003
0.000,0.202,3.636,0.003
0.000,0.202,3.737,0.003
0.000,0.202,3.838,0.004
0.000,0.202,3.939,0.004
0.000,0.202,4.040,0.004
0.000,0.202,4.141,0.004
0.000,0.202,4.242,0.004
0.000,0.202,4.343,0.004
0.000,0.202,4.444,0.004
0.000,0.202,4.545,0.004
0.000,0.202,4.646,0.004
0.000,0.202,4.747,0.004
0.000,0.202,4.848,0.004
0.000,0.202,4.949,0.004
0.000,0.202,5.051,0.004
0.000,0.202,5.152,0.004
0.000,0.202,5.253,0.004
0.000,0.202,5.354,0.004
0.000,0.202,5.455,0.004
0.000,0.202,5.556,0.004
0.000,0.202,5.657,0.004
0.000,0.202,5.758,0.004
0.000,0.202,5.859,0.004
0.000,0.202,5.960,0.004
